Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap,year,round
2025-10-26 19:20:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1.0,2025,20
2025-10-26 19:30:00,Other,PIT EXIT CLOSED,,,,,,1.0,2025,20
2025-10-26 19:45:02,Other,RISK OF RAIN FOR F1 RACE IS 0%,,,,,,1.0,2025,20
2025-10-26 19:57:04,Drs,DRS DISABLED,DISABLED,,,,,1.0,2025,20
2025-10-26 20:03:16,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1.0,2025,20
2025-10-26 20:05:11,Drs,DRS ENABLED,ENABLED,,,,,2.0,2025,20
2025-10-26 20:05:45,Other,LAP 1 TURN 1 INCIDENT NOTED,,,,,,2.0,2025,20
2025-10-26 20:06:11,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 3,,,,,,3.0,2025,20
2025-10-26 20:06:48,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,3.0,2025,20
2025-10-26 20:06:49,Other,DRS DISABLED IN ZONE 2,,,,,,3.0,2025,20
2025-10-26 20:06:54,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,3.0,2025,20
2025-10-26 20:07:20,Other,DRS ENABLED IN ZONE 2,,,,,,3.0,2025,20
2025-10-26 20:07:20,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 3,,,,,,3.0,2025,20
2025-10-26 20:09:47,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,5.0,2025,20
2025-10-26 20:10:50,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,6.0,2025,20
2025-10-26 20:10:51,Other,DRS DISABLED IN ZONE 3,,,,,,6.0,2025,20
2025-10-26 20:10:53,Other,DRS ENABLED IN ZONE 3,,,,,,6.0,2025,20
2025-10-26 20:10:53,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,6.0,2025,20
2025-10-26 20:13:20,Other,LAP 1 TURN 2 INCIDENT INVOLVING CARS 55 (SAI) AND 14 (ALO) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,,,8.0,2025,20
2025-10-26 20:13:39,Other,TURN 4 INCIDENT INVOLVING CAR 44 (HAM) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – ESCAPE ROAD INSTRUCTIONS,,,,,,8.0,2025,20
2025-10-26 20:14:21,Other,FIA STEWARDS: TURN 4 INCIDENT INVOLVING CAR 44 (HAM) UNDER INVESTIGATION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – ESCAPE ROAD INSTRUCTIONS,,,,,,9.0,2025,20
2025-10-26 20:15:06,Other,CAR 1 (VER) TIME 1:28.329 DELETED - TRACK LIMITS AT TURN 3 LAP 6 14:10:36,,,,,,9.0,2025,20
2025-10-26 20:15:38,Other,TURN 1 INCIDENT INVOLVING CARS 1 (VER) AND 44 (HAM) NOTED - CAUSING A COLLISION,,,,,,9.0,2025,20
