RoundNumber,EventName,Location,Country,EventDate,year
1,Australian Grand Prix,Melbourne,Australia,2018-03-25,2018
2,Bahrain Grand Prix,Sakhir,Bahrain,2018-04-08,2018
3,Chinese Grand Prix,Shanghai,China,2018-04-15,2018
4,Azerbaijan Grand Prix,Baku,Azerbaijan,2018-04-29,2018
5,Spanish Grand Prix,Barcelona,Spain,2018-05-13,2018
6,Monaco Grand Prix,Monte Carlo,Monaco,2018-05-27,2018
7,Canadian Grand Prix,Montréal,Canada,2018-06-10,2018
8,French Grand Prix,Le Castellet,France,2018-06-24,2018
9,Austrian Grand Prix,Spielberg,Austria,2018-07-01,2018
10,British Grand Prix,Silverstone,Great Britain,2018-07-08,2018
11,German Grand Prix,Hockenheim,Germany,2018-07-22,2018
12,Hungarian Grand Prix,Budapest,Hungary,2018-07-29,2018
13,Belgian Grand Prix,Spa-Francorchamps,Belgium,2018-08-26,2018
14,Italian Grand Prix,Monza,Italy,2018-09-02,2018
15,Singapore Grand Prix,Singapore,Singapore,2018-09-16,2018
16,Russian Grand Prix,Sochi,Russia,2018-09-30,2018
17,Japanese Grand Prix,Suzuka,Japan,2018-10-07,2018
18,United States Grand Prix,Austin,United States,2018-10-21,2018
19,Mexican Grand Prix,Mexico City,Mexico,2018-10-28,2018
20,Brazilian Grand Prix,São Paulo,Brazil,2018-11-11,2018
21,Abu Dhabi Grand Prix,Yas Marina,United Arab Emirates,2018-11-25,2018
